0,1,2,3,4,5,6,7
地址,户型,面积,单价,总价,关注度,发布时间,链接
精装小3室+育秀+南北通透+带地下室车位另算+看房方便,3室1厅,97.62平米,24381,238.0,4,2个月以前发布,https://jn.lianjia.com/ershoufang/103128570531.html
金科城  满五唯一 精装三室 边户 地铁1号线4号线,3室1厅,102.52平米,11608,119.0,0,7天以前发布,https://jn.lianjia.com/ershoufang/103129837402.html
新上西江华府自住装修三室带车位地下室拎包入住,3室2厅,138.47平米,28888,400.0,1,7天以前发布,https://jn.lianjia.com/ershoufang/103129837894.html
金科城 高楼层 采光好 看房方便,3室1厅,100.9平米,10902,110.0,0,4天以前发布,https://jn.lianjia.com/ershoufang/103129884745.html
中建长清湖乐园 3室2厅 南 北,3室2厅,140平米,6072,85.0,0,14天以前发布,https://jn.lianjia.com/ershoufang/103129725645.html
低总价 好楼层视野开阔 价格便宜 诚心出售 看房方便,2室2厅,85平米,10589,90.0,0,6天以前发布,https://jn.lianjia.com/ershoufang/103129851847.html
车位地下室 中间楼层 证满2年 随时可看房,3室1厅,95.43平米,12785,122.0,2,14天以前发布,https://jn.lianjia.com/ershoufang/103129720027.html
二环内小高层  公摊小 证满五年 南北通透 有钥匙,2室1厅,70.84平米,9600,68.0,1,7天以前发布,https://jn.lianjia.com/ershoufang/103129839847.html
新东方花园 精装 两室好房出售！,2室2厅,107.7平米,15785,170.0,0,5天以前发布,https://jn.lianjia.com/ershoufang/103129878693.html
科技城、全明户型、看房方便、业主诚心出售,2室2厅,102.73平米,14602,150.0,0,9天以前发布,https://jn.lianjia.com/ershoufang/103129804938.html
此房翡翠郡南区两室两厅+视野宽广+采光敞亮,3室1厅,94.57平米,14064,133.0,0,13天以前发布,https://jn.lianjia.com/ershoufang/103129741292.html
汇才 近地铁两室 无遮挡采光足 双气有地下室,2室2厅,90.77平米,14873,135.0,0,2天以前发布,https://jn.lianjia.com/ershoufang/103129914167.html
精装修，拎包入住，采光好，无个税，随时看,3室2厅,104.82平米,19939,209.0,2,14天以前发布,https://jn.lianjia.com/ershoufang/103129719232.html
恒大世纪广场一期 中间楼层   精装三居 业主诚意出售,3室2厅,108.41平米,12176,132.0,0,3天以前发布,https://jn.lianjia.com/ershoufang/103129909477.html
小高层公摊小 精装三室 拎包入住  客厅西边带大窗户,3室2厅,99.44平米,13979,139.0,0,3天以前发布,https://jn.lianjia.com/ershoufang/103129904827.html
历下区小高层，地铁口，精装修，总价低。,3室1厅,106.36平米,20215,215.0,1,3天以前发布,https://jn.lianjia.com/ershoufang/103129903940.html
单位团购 低密小区 18层小高 中间楼层 诚意出售,3室2厅,162.85平米,29537,481.0,1,31天以前发布,https://jn.lianjia.com/ershoufang/103129387580.html
带车位地下室，免高税，经典大G，好楼层，视野开阔,3室2厅,140.93平米,25545,360.0,0,28天以前发布,https://jn.lianjia.com/ershoufang/103129455056.html
西市场和谐旁，无遮挡采光好，无贷款抵押，产权清晰,3室1厅,116.58平米,15869,185.0,0,24天以前发布,https://jn.lianjia.com/ershoufang/103129522083.html
历下区，尚品燕园，边户，有车位，随时看房，出门地铁,3室2厅,111.44平米,16422,183.0,2,29天以前发布,https://jn.lianjia.com/ershoufang/103129425223.html
绿地城11层洋房，中间楼层，带2个产权车位，满两年,3室2厅,114.93平米,15836,182.0,4,25天以前发布,https://jn.lianjia.com/ershoufang/103129509899.html
无影山中路沿线+单位宿舍+免费停车、双气+南北通透,2室2厅,88.35平米,9395,83.0,1,27天以前发布,https://jn.lianjia.com/ershoufang/103129465057.html
11层电梯洋房公摊低视野好户型方正,3室2厅,96.11平米,14567,140.0,3,24天以前发布,https://jn.lianjia.com/ershoufang/103129527303.html
南区凤凰层，带装修可随时入住，御山118平,3室2厅,117.82平米,11374,134.0,0,18天以前发布,https://jn.lianjia.com/ershoufang/103129649212.html
户型方正，两室朝阳，不临高架，通透效果好，观湖好房,3室2厅,132.45平米,13591,180.0,0,24天以前发布,https://jn.lianjia.com/ershoufang/103129519557.html
市中区精装三室，双卧朝阳，地暖双气电梯房，带车位,3室1厅,90.29平米,12183,110.0,0,21天以前发布,https://jn.lianjia.com/ershoufang/103129570786.html
满二 海川 三叶草户型 看房方便   两卫,3室2厅,123.55平米,20073,248.0,3,28天以前发布,https://jn.lianjia.com/ershoufang/103129446901.html
非顶楼非顶楼 有地下室 好停车 看房方便有钥匙,3室2厅,117.73平米,20471,241.0,2,19天以前发布,https://jn.lianjia.com/ershoufang/103129626089.html
经十东路，雍景豪庭，价格包含车位地下室，有电梯,3室2厅,129.79平米,8322,108.0,3,19天以前发布,https://jn.lianjia.com/ershoufang/103129631121.html
南北通透+楼层好+视野开阔+采光充足+交通便利+精装修,3室2厅,102.91平米,12147,125.0,4,21天以前发布,https://jn.lianjia.com/ershoufang/103129573874.html
全福改善好房      水天福苑  新上好房急售,2室1厅,111.15平米,10527,117.0,0,28天以前发布,https://jn.lianjia.com/ershoufang/103129454261.html
山大瀚阳，有车位，看房方便，采光视野好,3室2厅,127.39平米,21588,275.0,0,21天以前发布,https://jn.lianjia.com/ershoufang/103129587703.html
历下主城区 精装三居室 好位置 好楼层 有车位地下室,3室2厅,131.5平米,17871,235.0,1,28天以前发布,https://jn.lianjia.com/ershoufang/103129458583.html
房子精装采光好，通透性好，龙湖园林绿化高，万科物业,3室1厅,96.09平米,15299,147.0,1,20天以前发布,https://jn.lianjia.com/ershoufang/103129606238.html
客厅朝阳 带地下室 看房方便 诚心出售,2室2厅,113.6平米,11444,130.0,1,28天以前发布,https://jn.lianjia.com/ershoufang/103129446511.html
方正三居室 视野开阔 南北双阳台,3室2厅,118.23平米,19031,225.0,2,15天以前发布,https://jn.lianjia.com/ershoufang/103129698754.html
满两年，精装未住，视野开阔无遮挡 采光好 看房方便,3室2厅,110.05平米,15902,175.0,0,11天以前发布,https://jn.lianjia.com/ershoufang/103129770350.html
